成都酒店源,#genre#
陕西农林,http://182.150.63.29:8080/udp/239.93.0.100:5140
兵团卫视,http://182.150.63.29:8080/udp/239.93.42.43:5140
峨眉电影,http://182.150.63.29:8080/udp/239.93.0.252:5140
厦门卫视,http://182.150.63.29:8080/udp/239.93.42.57:5140
三沙卫视,http://182.150.63.29:8080/udp/239.93.42.58:5140
山东教育卫视,http://182.150.63.29:8080/udp/239.93.1.196:5140
CDTV-2,http://182.150.63.29:8080/udp/239.93.0.17:1239
CDTV-3,http://182.150.63.29:8080/udp/239.93.0.18:1238
CDTV-4,http://182.150.63.29:8080/udp/239.93.0.19:1250
CDTV-5,http://182.150.63.29:8080/udp/239.93.1.231:5140
CDTV-6,http://182.150.63.29:8080/udp/239.93.0.21:1251
CDTV-8,http://182.150.63.29:8080/udp/239.93.0.22:1252
CETV-2,http://182.150.63.29:8080/udp/239.93.0.113:5140
CETV-4,http://182.150.63.29:8080/udp/239.93.0.50:5140
经典电影,http://182.150.63.29:8080/udp/239.93.0.57:9024
华语影院,http://182.150.63.29:8080/udp/239.93.0.138:5140
星光院线,http://182.150.63.29:8080/udp/239.93.0.139:5140
全球大片,http://182.150.63.29:8080/udp/239.93.0.105:5140
热播剧场,http://182.150.63.29:8080/udp/239.93.0.56:9020
热门剧场,http://182.150.63.29:8080/udp/239.93.0.140:5140
港剧风云,http://182.150.63.29:8080/udp/239.93.0.143:5140
谍战剧场,http://182.150.63.29:8080/udp/239.93.0.95:5140
卡酷动画,http://182.150.63.29:8080/udp/239.93.0.208:5140
金鹰卡通,http://182.150.63.29:8080/udp/239.93.0.108:5140
优漫卡通,http://182.150.63.29:8080/udp/239.93.0.251:5140
宝宝动画,http://182.150.63.29:8080/udp/239.93.0.147:5140
少儿动画,http://182.150.63.29:8080/udp/239.93.0.193:9000
青春动漫,http://182.150.63.29:8080/udp/239.93.0.146:5140
热门综艺,http://182.150.63.29:8080/udp/239.93.0.151:5140
音乐现场,http://182.150.63.29:8080/udp/239.93.0.198:9044

爱怀旧,http://182.150.63.29:8080/udp/239.93.42.21:5140
爱喜剧,http://182.150.63.29:8080/udp/239.93.42.9:5140
爱奇谈,http://182.150.63.29:8080/udp/239.93.42.22:5140
爱科幻,http://182.150.63.29:8080/udp/239.93.42.10:5140
爱院线,http://182.150.63.29:8080/udp/239.93.42.11:5140
都市剧场,http://182.150.63.29:8080/udp/239.93.42.30:5140
爱谍战,http://182.150.63.29:8080/udp/239.93.42.14:5140
爱经典,http://182.150.63.29:8080/udp/239.93.42.13:5140
爱悬疑,http://182.150.63.29:8080/udp/239.93.42.12:5140
爱青春,http://182.150.63.29:8080/udp/239.93.42.16:5140
爱都市,http://182.150.63.29:8080/udp/239.93.42.15:5140
四川源,#genre#
CCTV-1高清,http://110.185.42.110:8688/udp/239.93.0.184:5140
CCTV-2高清,http://110.185.42.110:8688/udp/239.93.1.23:6000
CCTV-3高清,http://110.185.42.110:8688/udp/239.93.1.11:2223
CCTV-4高清,http://110.185.42.110:8688/udp/239.93.1.105:5140
CCTV-5高清,http://110.185.42.110:8688/udp/239.93.42.37:5140
CCTV-6高清,http://110.185.42.110:8688/udp/239.93.1.13:2226
CCTV-7高清,http://110.185.42.110:8688/udp/239.93.1.67:5140
CCTV-8高清,http://110.185.42.110:8688/udp/239.93.42.39:5140
CCTV-9高清,http://110.185.42.110:8688/udp/239.93.1.24:5140
CCTV-10高清,http://110.185.42.110:8688/udp/239.93.1.28:5140
CCTV-11高清,http://110.185.42.110:8688/udp/239.93.0.102:5140
CCTV-12高清,http://110.185.42.110:8688/udp/239.93.1.30:8124
CCTV-13高清,http://110.185.42.110:8688/udp/239.93.0.66:5140
CCTV-少儿高清,http://110.185.42.110:8688/udp/239.93.1.29:6000
CCTV-15高清,http://110.185.42.110:8688/udp/239.93.0.103:5140
